81705,CAP4770,Introduction to Data Mining,Antonio Hernandez,Fully Online
85287,CAP5510,Introduction to Bioinformatics,Giri Narasimhan,In Person
88114,CAP5602,Introduction to Artificial Intelligence,Mark Finlayson,In Person
85282,CAP5602,Introduction to Artificial Intelligence,Mark Finlayson,In Person
85280,CAP5610,Introduction to Machine Learning,Miguel Alonso,Hybrid Courses
81649,CAP5768,Introduction to Data Science,Giri Narasimhan,In Person
81661,CAP5768,Introduction to Data Science,Giri Narasimhan,In Person
87368,CAP5771,Principles of Data Mining,Miguel Alonso,Fully Online
85285,CAP6736,Geometric Modeling and Shape Analysis,Wei Zeng,In Person
87261,CAP6778,Advanced Topics in Data Mining,Ananda Mondal,In Person
81668,CDA3103,Fundamentals of Computer Systems,Masoud Milani,Fully Online
82192,CDA3103,Fundamentals of Computer Systems,Trevor Cickovski,In Person
82405,CDA3103,Fundamentals of Computer Systems,Trevor Cickovski,In Person
87285,CDA3103,Fundamentals of Computer Systems,Fahad Saeed,In Person
82359,CDA3103,Fundamentals of Computer Systems,Carlos Cabrera,Hybrid Courses
85495,CDA4101,Structured Computer Organization,Farzana Rahman,Fully Online
82020,CDA4101,Structured Computer Organization,Trevor Cickovski,In Person
82334,CDA4101,Structured Computer Organization,Trevor Cickovski,In Person
82360,CDA4101,Structured Computer Organization,Nagarajan Prabakar,In Person
82400,CEN3721,Introduction to Human-Computer Interaction,Debra Davis,Fully Online
82228,CEN3721,Introduction to Human-Computer Interaction,Patricia Mcdermott-wells,Hybrid Courses
82229,CEN3721,Introduction to Human-Computer Interaction,Patricia Mcdermott-wells,Hybrid Courses
82480,CEN3721,Introduction to Human-Computer Interaction,Debra Davis,Hybrid Courses
81666,CEN4010,Software Engineering I,Alejandro Roque,Fully Online
82416,CEN4010,Software Engineering I,Monique Ross,In Person
82345,CEN4021,Software Eng II,Lenis Hernandez,In Person
82157,CEN4072,Fundamentals of Software Testing,Peter Clarke,In Person
85279,CEN4083,Introduction to Cloud Computing,Jun Li,In Person
81717,CEN5011,Advanced Software Engineering,Seyedmasoud Sadjadi,CD/Videotape Sessions
82369,CEN5011,Advanced Software Engineering,Seyedmasoud Sadjadi,In Person
82021,CEN5011,Advanced Software Engineering,Seyedmasoud Sadjadi,In Person
81716,CEN5079,Secure Application Programming,Bogdan O.p. Carbunar,CD/Videotape Sessions
88115,CEN5079,Secure Application Programming,Bogdan O.p. Carbunar,In Person
81699,CEN5079,Secure Application Programming,Bogdan O.p. Carbunar,In Person
82413,CEN5087,Software and Data Modeling,Xudong He,In Person
82272,CEN5087,Software and Data Modeling,Xudong He,In Person
81672,CGS1920,Introduction to Computing,Tiana Solis,Fully Online
88368,CGS1920,Introduction to Computing,Tiana Solis,Fully Online
81996,CGS1920,Introduction to Computing,Juan Caraballo,In Person
82320,CGS1920,Introduction to Computing,Juan Caraballo,In Person
81704,CGS2060,Introduction to Microcomputers,Max Langen,In Person
87627,CGS2060,Introduction to Microcomputers,Kathryn Cudak,In Person
87659,CGS2060,Introduction to Microcomputers,Jorge Prendes,In Person
82213,CGS2060,Introduction to Microcomputers,Tiana Solis,Fully Online
86403,CGS2060,Introduction to Microcomputers,Jill Weiss,Hybrid Courses
81675,CGS2060,Introduction to Microcomputers,Jill Weiss,Hybrid Courses
82215,CGS2100,Intro to Microcomputer Applications for Business,Jill Weiss,Fully Online
82364,CGS2518,Computer Data Analysis,Max Langen,In Person
82214,CGS2518,Computer Data Analysis,Patricia Mcdermott-wells,Fully Online
82384,CGS2518,Computer Data Analysis,Gicel Florian,In Person
82418,CGS2518,Computer Data Analysis,Richard Whittaker,In Person
81674,CGS2518,Computer Data Analysis,Jill Weiss,Hybrid Courses
82402,CGS3095,Technology in the Global Arena,Caryl Rahn,Fully Online
88366,CGS3095,Technology in the Global Arena,Caryl Rahn,Fully Online
82270,CGS3095,Technology in the Global Arena,Scott Graham,In Person
82271,CGS3095,Technology in the Global Arena,Max Langen,In Person
82217,CGS3559,Using The Internet,Timothy Walker,Fully Online
82435,CGS3767,Computer Operating Systems,Caryl Rahn,Fully Online
82022,CGS3767,Computer Operating Systems,Michael Robinson,In Person
82225,CGS3767,Computer Operating Systems,Michael Robinson,In Person
82267,CGS3767,Computer Operating Systems,Michael Robinson,In Person
82381,CGS3767,Computer Operating Systems,Michael Robinson,In Person
82436,CGS4285,Appl Networking,Jerry Miller,Fully Online
82110,CGS4285,Appl Networking,Eric Johnson,In Person
82152,CGS4285,Appl Networking,Jerry Miller,In Person
82344,CGS4285,Appl Networking,Vyoma Gandhi,In Person
82437,CGS4854,Website Construction and Management,Michael Robinson,Fully Online
82024,CGS4854,Website Construction and Management,Michael Robinson,In Person
82222,CGS4854,Website Construction and Management,Raidel Batista,In Person
82367,CGS4854,Website Construction and Management,Michael Robinson,In Person
81756,CGS4854,Website Construction and Management,German Gomez,In Person
85288,CGS5166,Introduction to Bioinformatics Tools,Giri Narasimhan,In Person
85281,CIS4365,Enterprise Cybersecurity Policies and Practices,Carlos Alonso,In Person
82438,CIS4431,IT Automation,Leonard Simon,Fully Online
82439,CIS4431,IT Automation,Sajjad Zaidi,Fully Online
81710,CIS5027,Computer Systems Fundamentals,Naphtali Rishe,In Person
81676,CIS5370,Principles of Cybersecurity,Rick Blazek,Fully Online
82440,CIS5372,Fundamentals of Computer Security,Rick Blazek,Fully Online
81709,CIS5373,Systems Security,Md Endadul Hoque,In Person
85497,CIS5374,Information Security and Privacy,Rick Blazek,Fully Online
88129,CIS5900,Independent Study,Leonardo Bobadilla,In Person
88131,CIS5900,Independent Study,Jun Li,In Person
82003,CIS7910,Graduate Research,Ananda Mondal,In Person
86933,CIS7910,Graduate Research,Md Endadul Hoque,In Person
85286,CNT4182,Mobile and loT Cybersecurity Policies and Practices,Patricia Mcdermott-wells,Hybrid Courses
81784,CNT4403,Computing and Network Security,Leonard Simon,Fully Online
82226,CNT4403,Computing and Network Security,Eduardo Monteiro,In Person
82335,CNT4403,Computing and Network Security,Eduardo Monteiro,In Person
82382,CNT4403,Computing and Network Security,Elkuin Angee,In Person
82230,CNT4504,Advanced Network Management,Vincent Sanchez,In Person
82383,CNT4504,Advanced Network Management,Vincent Sanchez,In Person
82442,CNT4513,Data Communications,Carlos Cabrera,Fully Online
81671,CNT4713,Net-centric Computing,Kianoush Gholamiboroujeni,Fully Online
82273,CNT4713,Net-centric Computing,Timothy Downey,In Person
82396,CNT4713,Net-centric Computing,Timothy Downey,In Person
81602,COP1000,Introduction to Computer Programming,Marcos Pernas,In Person
81599,COP1000,Introduction to Computer Programming,Gicel Florian,In Person
81597,COP1000,Introduction to Computer Programming,Ana Perez,In Person
82247,COP1000,Introduction to Computer Programming,Maria Charters,In Person
85499,COP2210,Programming I,Farzana Rahman,Fully Online
88112,COP2210,Programming I,Debra Davis,In Person
82015,COP2210,Programming I,Antonio Hernandez,In Person
82016,COP2210,Programming I,Antonio Hernandez,In Person
81663,COP2210,Programming I,Antonio Hernandez,In Person
82153,COP2210,Programming I,Gregory Shaw,In Person
82154,COP2210,Programming I,Gregory Shaw,In Person
82128,COP2210,Programming I,Antonio Hernandez,In Person
82129,COP2210,Programming I,Antonio Hernandez,In Person
81664,COP2210,Programming I,Antonio Hernandez,In Person
82366,COP2210,Programming I,Debra Davis,In Person
82368,COP2210,Programming I,Debra Davis,In Person
82377,COP2210,Programming I,Debra Davis,In Person
82378,COP2210,Programming I,Debra Davis,In Person
82417,COP2210,Programming I,Debra Davis,In Person
87984,COP2210,Programming I,Richard Whittaker,In Person
82443,COP2250,Java Programming,Joslyn Smith,Fully Online
82014,COP2250,Java Programming,Maria Charters,In Person
82018,COP2250,Java Programming,Maria Charters,In Person
82019,COP2250,Java Programming,Maria Charters,In Person
82029,COP2250,Java Programming,Maria Charters,In Person
82138,COP2270,C For Engineers,Srilakshmi Medam,In Person
81667,COP3337,Computer Programming II,Caryl Rahn,Fully Online
82013,COP3337,Computer Programming II,Richard Whittaker,In Person
82124,COP3337,Computer Programming II,Joslyn Smith,In Person
82221,COP3337,Computer Programming II,Gregory Shaw,In Person
82284,COP3337,Computer Programming II,Maria Charters,In Person
82326,COP3337,Computer Programming II,Gregory Shaw,In Person
82415,COP3337,Computer Programming II,Gregory Shaw,In Person
82379,COP3337,Computer Programming II,William Feild Jr,In Person
82419,COP3337,Computer Programming II,William Feild Jr,In Person
87057,COP3337,Computer Programming II,Richard Whittaker,In Person
81669,COP3530,Data Structures,Antonio Bajuelos Dominguez,Fully Online
82028,COP3530,Data Structures,Antonio Bajuelos Dominguez,Hybrid Courses
82031,COP3530,Data Structures,Antonio Bajuelos Dominguez,Hybrid Courses
85291,COP3530,Data Structures,Antonio Hernandez,In Person
82403,COP3530,Data Structures,Antonio Hernandez,In Person
82322,COP3530,Data Structures,Antonio Bajuelos Dominguez,Hybrid Courses
82444,COP3804,Intermediate Java Programming,Joslyn Smith,Fully Online
82026,COP3804,Intermediate Java Programming,Joslyn Smith,In Person
82155,COP3804,Intermediate Java Programming,Mayelin Felipe,In Person
82233,COP3804,Intermediate Java Programming,Mayelin Felipe,In Person
82324,COP3804,Intermediate Java Programming,Maria Charters,In Person
82216,COP3835,Designing Web Pages,Timothy Walker,Fully Online
82449,COP4005,Windows Programming for IT Majors,Li Wang,Fully Online
82033,COP4005,Windows Programming for IT Majors,Patricia Mcdermott-wells,Hybrid Courses
82142,COP4226,Advanced Windows Programming,Timothy Downey,Hybrid Courses
81673,COP4338,Programming III,Caryl Rahn,Fully Online
82115,COP4338,Programming III,Caryl Rahn,Hybrid Courses
82325,COP4338,Programming III,Caryl Rahn,Hybrid Courses
82380,COP4338,Programming III,William Feild Jr,In Person
85292,COP4338,Programming III,William Feild Jr,In Person
82294,COP4534,Algorithm Techniques,Ning Xie,In Person
82032,COP4540,Database Management,Jainendra Navlakha,In Person
82027,COP4555,Principles of Programming Languages,Gregory Reis,In Person
82333,COP4555,Principles of Programming Languages,Jainendra Navlakha,In Person
85500,COP4610,Operating Systems Principles,Raju Rangaswami,Fully Online
82017,COP4610,Operating Systems Principles,Jason Liu,In Person
82296,COP4610,Operating Systems Principles,Jason Liu,In Person
81665,COP4610,Operating Systems Principles,Dong Chen,In Person
85293,COP4610,Operating Systems Principles,Dong Chen,In Person
85501,COP4655,Mobile Application Development,Steven Luis,Fully Online
82231,COP4655,Mobile Application Development,Steven Luis,In Person
82401,COP4703,Information Storage and Retrieval Concepts,Alejandro Roque,Fully Online
82266,COP4703,Information Storage and Retrieval Concepts,Subramanian Viswanathan,In Person
85289,COP4703,Information Storage and Retrieval Concepts,Ruben Balmaceda,In Person
85290,COP4703,Information Storage and Retrieval Concepts,Ruben Balmaceda,In Person
82297,COP4710,Database Management,Shu-ching Chen,Fully Online
87216,COP4710,Database Management,Jovan Ivanoski,In Person
82465,COP4710,Database Management,Jose Osorio,In Person
82450,COP4722,Survey of Database Systems,Samuel Bendayan,Fully Online
82107,COP4722,Survey of Database Systems,Nagarajan Prabakar,Hybrid Courses
82445,COP4813,Web Application Programming,Michael Olivero,Fully Online
82446,COP4814,Component-Based Software Development,Caryl Rahn,Fully Online
82227,COP4814,Component-Based Software Development,Gregory Reis,In Person
82365,COP4814,Component-Based Software Development,Gregory Reis,In Person
85324,COP4814,Component-Based Software Development,Gregory Reis,In Person
87782,COP5614,Operating Systems,Liting Hu,CD/Videotape Sessions
81648,COP5614,Operating Systems,Liting Hu,In Person
82420,COP5614,Operating Systems,Liting Hu,In Person
85631,COP5725,Principles of Database Management Systems,Naphtali Rishe,Fully Online
81670,COT3100,Discrete Structures,Masoud Milani,Fully Online
81702,COT3100,Discrete Structures,Richard Whittaker,In Person
81703,COT3100,Discrete Structures,Richard Whittaker,In Person
81789,COT3100,Discrete Structures,Kianoush Gholamiboroujeni,In Person
81790,COT3100,Discrete Structures,Kianoush Gholamiboroujeni,In Person
87083,COT3100,Discrete Structures,Richard Whittaker,In Person
81758,COT3541,Logic for Computer Science,Antonio Hernandez,Fully Online
82030,COT3541,Logic for Computer Science,Antonio Bajuelos Dominguez,In Person
82361,COT3541,Logic for Computer Science,Antonio Bajuelos Dominguez,In Person
87027,COT3541,Logic for Computer Science,Antonio Bajuelos Dominguez,In Person
85283,COT4521,Introduction to Computational Geometry,Wei Zeng,In Person
87781,COT5407,Introduction to Algorithms,Leonardo Bobadilla,CD/Videotape Sessions
82411,COT5407,Introduction to Algorithms,Leonardo Bobadilla,In Person
82386,COT5407,Introduction to Algorithms,Leonardo Bobadilla,In Person
82412,COT6405,Analysis Of Algorith,Ning Xie,In Person
82265,COT6405,Analysis Of Algorith,Ning Xie,In Person
82434,CTS4348,Unix System Administration,German Gomez,Fully Online
82135,CTS4348,Unix System Administration,Jose Osorio,In Person
82447,CTS4408,Database Administration,Norbert Monfort,Fully Online
82323,CTS4408,Database Administration,Subramanian Viswanathan,In Person
81598,IDC1000,Computer Science for Everyone,Gicel Florian,In Person
82448,IDC1000,Computer Science for Everyone,Belzahi Badell,Fully Online
85846,IDC4010C,Computer Science Education for Elementary School Children,Maria Charters,In Person
88057,IDC6940,Capstone Course in Data Science,Giri Narasimhan,In Person
87283,IDC6940,Capstone Course in Data Science,Giri Narasimhan,In Person
82371,TCN5030,Computer Communications and Networking Technologies,Kianoush Gholamiboroujeni,In Person
82141,TCN5030,Computer Communications and Networking Technologies,Kianoush Gholamiboroujeni,In Person
82298,TCN5080,Secure Telecommunications Transactions,Rick Blazek,Fully Online
88127,TCN5640,Telecommunications Enterprise Planning and Strategy,Niki Pissinou,In Person
82264,TCN5640,Telecommunications Enterprise Planning and Strategy,Niki Pissinou,In Person
82372,TCN6430,Networks Management and Control Standards,Alexander Afanasyev,In Person
82283,TCN6430,Networks Management and Control Standards,Alexander Afanasyev,In Person